display_name,category,parent_brand,value_key,payer_id,notes
Allina Health Aetna Medicare,Medicare Advantage,Aetna,allina-health-aetna-medicare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Allina Health and Aetna Insurance Company,Commercial,Aetna,allina-health-and-aetna-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AlohaCare,Medicare Advantage,,alohacare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alpha Dental Programs, Inc.",Commercial,,alpha-dental-programs-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alpha Dental of Alabama, Inc.",Commercial,,alpha-dental-of-alabama-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alpha Dental of Arizona, Inc.",Commercial,,alpha-dental-of-arizona-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alpha Dental of Nevada, Inc.",Commercial,,alpha-dental-of-nevada-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alpha Dental of New Mexico, Inc.",Commercial,,alpha-dental-of-new-mexico-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alpha Dental of Utah, Inc.",Commercial,,alpha-dental-of-utah-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AltaMed Health Services Corporation,Medicare Advantage,,altamed-health-services-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Alterwood Advantage,Medicare Advantage,,alterwood-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Altus Dental Insurance Company, Inc.",Commercial,,altus-dental-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Amalgamated Life Insurance Company,Commercial,,amalgamated-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ambetter Health of Florida Inc,Commercial,Centene,ambetter-health-of-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Ambetter Health of Louisiana, Inc.",Commercial,Centene,ambetter-health-of-louisiana-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ambetter Health of Pennsylvania,Commercial,Centene,ambetter-health-of-pennsylvania,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ambetter Health of Texas Inc,Commercial,Centene,ambetter-health-of-texas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ambetter of Magnolia Inc.,Commercial,Centene,ambetter-of-magnolia-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ambetter of North Carolina Inc.,Commercial,Centene,ambetter-of-north-carolina-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Ambetter of Peach State Inc.,Commercial,Centene,ambetter-of-peach-state-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
